City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Lata,PT,73.99,overcast clouds,40.16,-8.33,Casa Maquia
5,Cabedelo,BR,82.4,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
6,Victoria,HK,82.0,overcast clouds,22.29,114.16,Mini Hotel Central
7,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
11,Fortuna,US,80.01,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
16,Cervo,ES,75.0,clear sky,43.67,-7.41,Hotel Spa Galatea
17,Albany,US,84.99,broken clouds,42.6,-73.97,
18,Wahpeton,US,84.99,clear sky,46.27,-96.61,Select Inn Breckenridge
19,Tautira,PF,78.8,broken clouds,-17.73,-149.15,Pension Oaoa
21,Jamestown,US,82.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
24,Kapaa,US,80.6,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
26,Matara,LK,79.59,broken clouds,5.95,80.54,Amaloh Boutique Resort
28,Vila Franca Do Campo,PT,77.0,scattered clouds,37.72,-25.43,Pestana Bahia Praia
30,Bengkulu,ID,76.01,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
32,Japura,ID,74.88,broken clouds,-0.32,102.35,Rumah mbah Jamah
40,Sao Filipe,CV,77.65,scattered clouds,14.9,-24.5,Tortuga B&B
46,West Wendover,US,87.8,haze,40.74,-114.07,"Motel 6 Wendover, UT"
50,Tiznit,MA,86.92,clear sky,29.58,-9.5,
59,Mahibadhoo,MV,83.35,scattered clouds,3.78,72.97,Omadhoo Inn
62,Taungdwingyi,MM,74.07,broken clouds,20.02,95.55,NayNaing MobileService
63,Tamale,GH,77.23,overcast clouds,9.4,-0.84,Tap Hotel
64,Butaritari,KI,82.54,overcast clouds,3.07,172.79,Isles Sunset Lodge
65,Manga,BF,78.62,moderate rain,11.66,-1.07,Auberge Somkieta
71,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
72,Cacahuatepec,MX,87.8,scattered clouds,16.89,-99.61,
74,Nouadhibou,MR,82.4,overcast clouds,20.93,-17.03,El Medina
75,Boma,GH,74.7,broken clouds,7.08,-2.17,Obaatanpa Hotel
77,Zhangye,CN,70.84,overcast clouds,38.93,100.45,Zhangye Lvzhou Holiday Inn
78,Vanimo,PG,78.49,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
79,Bar Harbor,US,75.0,scattered clouds,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
80,Kirakira,SB,78.48,broken clouds,-10.45,161.92,SanBiz Lodge
81,Yanam,IN,78.73,light rain,16.73,82.22,The Regency Hotel
84,Lorengau,PG,82.85,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
85,Lexington,US,80.01,overcast clouds,37.99,-84.48,DoubleTree Suites by Hilton Hotel Lexington
90,Torbay,CA,72.0,scattered clouds,47.67,-52.73,Gallows Cove
91,Melilla,ES,87.8,clear sky,35.29,-2.94,Hôtel Anfora
93,Shimoda,JP,75.0,clear sky,34.67,138.95,Shimoda Tokyu Hotel
95,Atuona,PF,78.53,clear sky,-9.8,-139.03,Villa Enata
97,Merauke,ID,72.97,clear sky,-8.47,140.33,
98,Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
100,Roma,US,81.0,clear sky,43.21,-75.46,Wingate By Wyndham Rome
102,Carlsbad,US,88.0,clear sky,33.16,-117.35,Carlsbad Inn Beach Resort
104,San Quintin,MX,85.14,clear sky,30.48,-115.95,Old Mill Hotel
106,Bud,US,82.99,overcast clouds,39.45,-86.18,Madsion Scouts Camp
109,Alexandria,EG,80.6,few clouds,31.22,29.96,Royal Crown Hotel
110,Bathsheba,BB,87.8,broken clouds,13.22,-59.52,Atlantis Hotel
112,Bethel,US,86.0,few clouds,41.37,-73.41,Courtyard by Marriott Danbury
113,Dingle,PH,75.78,clear sky,11.0,122.67,Camp Pasica
115,Basar,IN,71.78,light rain,27.98,94.67,
119,Namatanai,PG,78.48,clear sky,-3.67,152.43,Namatanai Hotel
124,Yumen,CN,72.57,overcast clouds,40.28,97.2,
126,Nassau,US,84.0,clear sky,40.75,-73.58,Hilton Garden Inn Westbury
130,Kavaratti,IN,82.17,light rain,10.57,72.64,Bismillah Hotel And Lodging
133,Calvillo,MX,71.6,broken clouds,21.85,-102.72,Hotel La Gloria de Calvillo
134,Puerto Ayora,EC,75.2,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
