City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.33,48.0,97,54,3.0,broken clouds
1,Lata,PT,40.16,-8.33,73.99,64,100,7.0,overcast clouds
2,Bayan,CN,46.08,127.4,52.2,86,4,2.01,clear sky
3,Hobart,AU,-42.88,147.33,35.6,85,40,3.36,scattered clouds
4,Esperance,AU,-33.87,121.9,46.4,93,100,4.7,overcast clouds
5,Cabedelo,BR,-6.98,-34.83,82.4,65,40,14.99,scattered clouds
6,Victoria,HK,22.29,114.16,82.0,78,100,4.0,overcast clouds
7,Vaini,TO,-21.2,-175.2,73.4,100,75,2.24,broken clouds
8,Port Elizabeth,ZA,-33.92,25.57,53.6,93,0,4.7,mist
9,Tasiilaq,GL,65.61,-37.64,50.0,53,20,11.41,few clouds
10,Busselton,AU,-33.65,115.33,50.0,75,100,7.09,overcast clouds
11,Fortuna,US,40.6,-124.16,80.01,69,0,4.0,clear sky
12,Iqaluit,CA,63.75,-68.51,53.6,66,75,4.63,broken clouds
13,Rikitea,PF,-23.12,-134.97,65.79,67,0,22.12,clear sky
14,Ushuaia,AR,-54.8,-68.3,46.4,61,75,16.11,broken clouds
15,Punta Arenas,CL,-53.15,-70.92,48.2,66,75,16.11,broken clouds
16,Cervo,ES,43.67,-7.41,75.0,55,0,14.0,clear sky
17,Albany,US,42.6,-73.97,84.99,45,61,8.63,broken clouds
18,Wahpeton,US,46.27,-96.61,84.99,69,1,5.82,clear sky
19,Tautira,PF,-17.73,-149.15,78.8,74,75,4.7,broken clouds
20,Comodoro Rivadavia,AR,-45.87,-67.5,68.0,24,0,14.99,clear sky
21,Jamestown,US,42.1,-79.24,82.0,57,75,10.29,broken clouds
22,Kodiak,US,57.79,-152.41,62.87,66,0,5.03,clear sky
23,Yellowknife,CA,62.46,-114.35,55.4,62,40,11.41,scattered clouds
24,Kapaa,US,22.08,-159.32,80.6,74,90,11.41,overcast clouds
25,Leningradskiy,RU,69.38,178.42,41.09,84,100,4.45,overcast clouds
26,Matara,LK,5.95,80.54,79.59,85,80,7.87,broken clouds
27,Port Alfred,ZA,-33.59,26.89,58.8,72,0,11.5,clear sky
28,Vila Franca Do Campo,PT,37.72,-25.43,77.0,78,40,4.7,scattered clouds
29,Kuvshinovo,RU,57.03,34.17,53.92,81,0,1.1,clear sky
30,Bengkulu,ID,-3.8,102.27,76.01,87,89,4.23,overcast clouds
31,Hokitika,NZ,-42.72,170.97,51.37,88,97,0.96,light rain
32,Japura,ID,-0.32,102.35,74.88,88,60,2.24,broken clouds
33,Mar Del Plata,AR,-38.0,-57.56,68.0,34,0,4.7,clear sky
34,Khandyga,RU,62.67,135.6,39.02,73,3,2.8,clear sky
35,Mataura,NZ,-46.19,168.86,48.0,97,62,3.0,broken clouds
36,Morros,BR,-9.45,-46.3,97.65,16,58,1.63,broken clouds
37,Narsaq,GL,60.92,-46.05,59.0,44,20,6.93,few clouds
38,Barrow,US,71.29,-156.79,44.6,100,90,8.05,fog
39,Opochka,RU,56.71,28.66,55.71,91,0,2.53,clear sky
40,Sao Filipe,CV,14.9,-24.5,77.65,73,44,6.22,scattered clouds
41,Sorland,NO,67.67,12.69,59.0,77,20,4.7,few clouds
42,Trujillo,PE,-8.12,-79.03,67.14,67,35,9.91,scattered clouds
43,East London,ZA,-33.02,27.91,60.58,67,0,9.95,clear sky
44,Tuktoyaktuk,CA,69.45,-133.04,50.94,77,0,2.3,clear sky
45,San Ignacio,BZ,17.16,-89.07,91.0,62,40,3.47,scattered clouds
46,West Wendover,US,40.74,-114.07,87.8,11,1,3.36,haze
47,Khorixas,NA,-20.37,14.97,60.8,33,97,4.79,overcast clouds
48,Nanortalik,GL,60.14,-45.24,49.71,63,0,4.23,clear sky
49,Upernavik,GL,72.79,-56.15,45.34,66,51,9.51,broken clouds
50,Tiznit,MA,29.58,-9.5,86.92,22,0,3.31,clear sky
51,Khatanga,RU,71.97,102.5,43.47,66,0,12.86,clear sky
52,Lamesa,US,32.74,-101.95,91.99,31,90,17.22,overcast clouds
53,Zyryanka,RU,65.75,150.85,38.91,73,100,12.57,overcast clouds
54,Cape Town,ZA,-33.93,18.42,55.99,93,2,4.7,clear sky
55,Mecca,SA,21.43,39.83,93.09,30,0,7.02,clear sky
56,Hermanus,ZA,-34.42,19.23,52.0,91,75,4.45,broken clouds
57,Clyde River,CA,70.47,-68.59,43.99,82,97,1.83,overcast clouds
58,Castro,BR,-24.79,-50.01,43.57,87,100,5.82,overcast clouds
59,Mahibadhoo,MV,3.78,72.97,83.35,67,48,4.83,scattered clouds
60,Arandis,NA,-22.42,14.97,63.32,21,0,7.87,clear sky
61,Arraial Do Cabo,BR,-22.97,-42.03,68.0,77,75,10.29,broken clouds
62,Taungdwingyi,MM,20.02,95.55,74.07,96,84,6.58,broken clouds
63,Tamale,GH,9.4,-0.84,77.23,79,100,4.14,overcast clouds
64,Butaritari,KI,3.07,172.79,82.54,63,100,2.08,overcast clouds
65,Manga,BF,11.66,-1.07,78.62,82,100,7.83,moderate rain
66,Opuwo,NA,-18.06,13.84,60.26,22,44,8.1,scattered clouds
67,The Pas,CA,53.83,-101.25,68.0,68,75,6.35,broken clouds
68,Tiksi,RU,71.69,128.87,37.85,85,100,9.53,overcast clouds
69,Bilibino,RU,68.05,166.44,40.39,83,100,6.64,overcast clouds
70,Namibe,AO,-15.2,12.15,64.76,67,100,7.07,overcast clouds
71,Avarua,CK,-21.21,-159.78,75.2,83,51,17.22,broken clouds
72,Cacahuatepec,MX,16.89,-99.61,87.8,66,40,3.36,scattered clouds
73,Dikson,RU,73.51,80.55,44.17,78,0,13.73,clear sky
74,Nouadhibou,MR,20.93,-17.03,82.4,78,99,10.29,overcast clouds
75,Boma,GH,7.08,-2.17,74.7,81,60,1.63,broken clouds
76,Longyearbyen,SJ,78.22,15.64,44.6,75,75,2.24,broken clouds
77,Zhangye,CN,38.93,100.45,70.84,49,100,2.04,overcast clouds
78,Vanimo,PG,-2.67,141.3,78.49,86,36,5.08,light rain
79,Bar Harbor,US,44.39,-68.2,75.0,77,40,11.41,scattered clouds
80,Kirakira,SB,-10.45,161.92,78.48,83,52,6.44,broken clouds
81,Yanam,IN,16.73,82.22,78.73,92,100,5.46,light rain
82,Arlit,NE,18.74,7.39,102.72,11,1,12.24,clear sky
83,Villa Maria,AR,-32.41,-63.24,62.82,27,0,13.76,clear sky
84,Lorengau,PG,-2.02,147.27,82.85,72,46,8.59,scattered clouds
85,Lexington,US,37.99,-84.48,80.01,69,90,11.41,overcast clouds
86,Mount Gambier,AU,-37.83,140.77,44.6,87,75,12.75,broken clouds
87,Turangi,NZ,-39.0,175.93,45.0,93,90,3.83,overcast clouds
88,Norman Wells,CA,65.28,-126.83,62.6,59,75,18.34,broken clouds
89,Tashtagol,RU,52.77,87.89,54.05,90,100,3.04,overcast clouds
90,Torbay,CA,47.67,-52.73,72.0,49,40,21.92,scattered clouds
91,Melilla,ES,35.29,-2.94,87.8,20,0,6.93,clear sky
92,Havoysund,NO,71.0,24.66,57.2,82,100,8.05,overcast clouds
93,Shimoda,JP,34.67,138.95,75.0,90,0,1.99,clear sky
94,Saskylakh,RU,71.92,114.08,35.42,90,19,6.26,few clouds
95,Atuona,PF,-9.8,-139.03,78.53,79,7,15.32,clear sky
96,Mehamn,NO,71.04,27.85,57.2,82,75,11.41,broken clouds
97,Merauke,ID,-8.47,140.33,72.97,87,0,10.38,clear sky
98,Hilo,US,19.73,-155.09,77.0,83,90,5.82,overcast clouds
99,Tera,NE,14.01,0.75,97.05,32,97,2.95,overcast clouds
100,Roma,US,43.21,-75.46,81.0,51,1,13.87,clear sky
101,Lebu,CL,-37.62,-73.65,54.28,69,0,16.49,clear sky
102,Carlsbad,US,33.16,-117.35,88.0,74,1,10.29,clear sky
103,Port Hedland,AU,-20.32,118.57,60.8,51,0,5.82,clear sky
104,San Quintin,MX,30.48,-115.95,85.14,51,0,10.92,clear sky
105,Nikolskoye,RU,59.7,30.79,68.0,60,0,2.24,clear sky
